stableInternalID,nativeOrder,visibleGameLabelOrIndex,view,selectionStatus,selectedFrameID,confidence,candidateCount,reviewReason,missingViewReason,topWarnings
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,FRONT,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,LEFT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,LEFT_PROFILE,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,RIGHT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,RIGHT_PROFILE,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,REAR,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,FRONT,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,LEFT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,LEFT_PROFILE,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,RIGHT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,RIGHT_PROFILE,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,REAR,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,3,Round Free Lobe,FRONT,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,3,Round Free Lobe,LEFT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,3,Round Free Lobe,LEFT_PROFILE,missingViewNoSelection,,0,1,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|menu_context_only|lighting_not_measured|head_size_not_measured
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,3,Round Free Lobe,RIGHT_3Q,missingViewNoSelection,,0,2,No exact view candidate exists. Ambiguous or menu-only frames are not promoted to this view.,no_exact_candidate_for_requested_view,manual_review_required_before_selection|three_quarter_direction_unknown|lighting_not_measured|head_size_not_measured|menu_context_only
